	icao_code	shortnames
763	SVO	Servicios Aeronauticos de Oriente de C.V.
764	EAA	Transporte Aereo Andino
765	JSA	Jetstar Asia
766	BCB	Carib Express
767	PIC	Jetstar Pacific
768	SJE	
769	HSO	Compania Helicopteros de Transporte
770	QFA	Qantas
771	NIG	Aero Contractors Company Of Nigeria Ltd.
772	EXH	G5 Executive AG
773	FDR	Federal Air
774	QLA	Aviation Quebec Labrador
775	PGT	Pegasus Airlines
776	REL	Reliance Aviation
777	AZW	Air Zimbabwe
778	BKK	
779	EPA	Donghai Airlines
780	SAP	Sardairline
781	SJJ	Spirit Jets
782	ATV	Avanti Air
783	PTI	Privatair Sa
784	BVR	Acm Air Charter
785	TFY	Tayside Aviation
786	NOK	Nok
787	WAV	Warbelows Air Ventures
788	UNO	United Nations Organization
789	RMK	Rusavia
790	RMY	Raya Airways
791	CNY	Central Airways
792	RGT	Airbourne School Of Flying
793	HPL	Heliportugal - Trabalhos E Transporte Aereo, Representacoes, Importacao E Exportacao, Lda
794	GKA	U S Army Parachute Team
795	TPN	Transportacion Aerea Del Norte de C.V.
796	OSA	Aero Astra
797	UZH	Yuzhnoye State Office
798	UCM	University of Central Missouri
799	WPR	Auckland Regional Rescue Helicopter Trust
800	MTF	Interjet
801	LBE	Elbee
802	HYR	Airlink Airways
803	CNJ	Nanjing
804	AMK	Amerer Air
805	EXK	Executive Airlines
806	TON	Aero Tonala
807	JYH	
808	TAZ	Transporte Aereo de la Amazonia
809	FYG	
810	NOR	Norsk Helikopter A/s
811	FWI	Air Caraïbes
812	NPX	Northeast Aviation
813	CRC	Camair-Co
814	OFA	Helitaxi Ofavi de C.V.
815	ERC	Esso
816	EMI	Premium Air Shuttle Ltd
817	CLG	
818	EXY	Sa Express
819	KET	Cat Kargo Hava Tasima A.s.
820	LHN	Express One International
821	BRL	Air Brasd'or
822	MJT	Mex-Jet de C.V.
823	PHO	Phoenix Airways
824	JTX	Jet Aspen
825	LAG	Aerovias de Lagos de C.V.
826	KAH	Kent Aviation
827	GTI	Atlas Air
828	EGF	American Eagle
829	VMP	Execujet Scandinavia
830	NIH	
831	ABT	Air Brousse, Inc
832	HSW	Aerocombi
833	LZB	Bulgaria Air
834	AKB	Aktjubavia
835	LBH	Laker Airways
836	MZL	Aerovias Montes Azules de C.V.
837	EPN	Europlane S.l.
838	TKE	Trek
839	BRH	Braathen Helicopters A/s
840	GCR	
841	KLD	Air Klaipeda
842	TTR	Tatra Air
843	CCO	Aerolineas Coco Club Hoteles de Mexico de C.V.
844	LSK	Aurela
845	JCM	Secure Air Charter
846	BLT	Baltic Aviation
847	SPM	Air Saint Pierre
848	AVU	Avia Sud
849	PIL	Canada Jet Charters
850	TST	Transtar Airliner
851	AQO	Aluminum Company Of America
852	BPS	Budapest Air Service Ltd
853	EFS	Europe Falcon Service
854	JWA	Jetworld
855	HZL	Hazelton Airlines Ltd
856	SUA	Aviation Associates D/B/A Eastern Metro Express
857	LMG	South African Air Force
858	TCV	TACV
859	KEW	Keewatin Air
860	GIF	
861	PRN	Petronord-Avia, Air Company
862	GMH	Hughes Aircraft Company
863	RLD	Ras Fluggesellschaft Mbh, Dusseldorf
864	URN	Turan Air
865	HOZ	Horizontes Aereos de C.V.
866	RQT	
867	ASG	African Star
868	RMQ	Air Armorique
869	PIT	Panair Comagnia Aerea Mediterranea
870	SCW	Braathens Regional Aviation
871	SMB	Simba Air Cargo Ltd
872	BTV	Metro Batavia
873	IMA	Inter-Mountain
874	VJC	VietJet Air
875	MRM	Aerocharter
876	KIL	Kuban Airlines
877	KSR	Sanrise
878	FDX	FedEx
879	AEV	Aeroventas
880	SPZ	Airworld
881	URE	Eureca Srl.
882	MAQ	Mac Aviation, S.l.
883	FWD	Fair Wind
884	ABU	Aerovias Bueno
885	CKL	Kokomo Aviation, Ibc. D/B/A Aviation Charter Services
886	TUN	Air Tungaru
887	IAS	International Air Service Co
888	QSM	Qeshm Air
889	AXK	African Express
890	SAT	Servico Acoreano de Transportes Aereos - EP
891	LCH	Lynch Flying Service
